"visit_id","visit_date","movement_type_id","membership_id","issue_date","membership_type_id"
1001,"2026-08-01",1,101,"2026-08-01",2
1002,"2026-08-01",2,101,"2026-08-01",2
1003,"2026-08-02",1,101,"2026-08-01",2
1004,"2026-08-05",1,102,"2026-08-05",3
1005,"2026-08-05",2,102,"2026-08-05",3
1006,"2026-08-06",1,102,"2026-08-05",3
1007,"2026-08-10",1,103,"2026-08-10",1
1008,"2026-08-10",2,103,"2026-08-10",1
1009,"2026-08-12",1,104,"2026-08-12",4
1010,"2026-08-12",2,104,"2026-08-12",4
1011,"2026-08-13",1,104,"2026-08-12",4
1012,"2026-08-15",1,105,"2026-08-15",2
1013,"2026-08-16",1,101,"2026-08-01",2
1014,"2026-08-16",2,101,"2026-08-01",2
1015,"2026-08-17",1,102,"2026-08-05",3
